"filename", "language", "JavaScript", "Markdown", "YAML", "comment", "blank", "total"
"d:\Mycodes\Gitrepos\awesome-copilot\.github\chatmodes\Ultimate-Transparent-Thinking-Beast-Mode.chatmode.md", "Markdown", 0, 467, 0, 0, 178, 645
"d:\Mycodes\Gitrepos\awesome-copilot\.github\chatmodes\code-tour.chatmode.md", "Markdown", 0, 176, 0, 0, 30, 206
"d:\Mycodes\Gitrepos\awesome-copilot\.github\chatmodes\gilfoyle.chatmode.md", "Markdown", 0, 46, 0, 0, 21, 67
"d:\Mycodes\Gitrepos\awesome-copilot\.github\chatmodes\plan.chatmode.md", "Markdown", 0, 89, 0, 0, 26, 115
"d:\Mycodes\Gitrepos\awesome-copilot\.github\chatmodes\planner.chatmode.md", "Markdown", 0, 12, 0, 0, 3, 15
"d:\Mycodes\Gitrepos\awesome-copilot\.github\chatmodes\task-planner.chatmode.md", "Markdown", 0, 258, 0, 9, 108, 375
"d:\Mycodes\Gitrepos\awesome-copilot\.github\chatmodes\task-researcher.chatmode.md", "Markdown", 0, 187, 0, 3, 65, 255
"d:\Mycodes\Gitrepos\awesome-copilot\.github\chatmodes\tech-debt-remediation-plan.chatmode.md", "Markdown", 0, 36, 0, 0, 14, 50
"d:\Mycodes\Gitrepos\awesome-copilot\.github\copilot-instructions.md", "Markdown", 0, 16, 0, 0, 8, 24
"d:\Mycodes\Gitrepos\awesome-copilot\.github\instructions\gilfoyle-code-review.instructions.md", "Markdown", 0, 76, 0, 1, 38, 115
"d:\Mycodes\Gitrepos\awesome-copilot\.github\instructions\instructions.instructions.md", "Markdown", 0, 186, 0, 0, 71, 257
"d:\Mycodes\Gitrepos\awesome-copilot\.github\instructions\markdown.instructions.md", "Markdown", 0, 41, 0, 0, 12, 53
"d:\Mycodes\Gitrepos\awesome-copilot\.github\instructions\memory-bank.instructions.md", "Markdown", 0, 232, 0, 0, 67, 299
"d:\Mycodes\Gitrepos\awesome-copilot\.github\instructions\taming-copilot.instructions.md", "Markdown", 0, 29, 0, 0, 12, 41
"d:\Mycodes\Gitrepos\awesome-copilot\.github\prompts\add-educational-comments.prompt.md", "Markdown", 0, 95, 0, 0, 35, 130
"d:\Mycodes\Gitrepos\awesome-copilot\docs\TOOLING.md", "Markdown", 0, 1, 0, 0, 1, 2
"d:\Mycodes\Gitrepos\awesome-copilot\docs\UPDATE-README-review.md", "Markdown", 0, 33, 0, 0, 15, 48
"d:\Mycodes\Gitrepos\awesome-copilot\docs\code-optimization-guide.md", "Markdown", 0, 71, 0, 0, 36, 107
"d:\Mycodes\Gitrepos\awesome-copilot\docs\code-quality-improvements.md", "Markdown", 0, 127, 0, 0, 59, 186
"d:\Mycodes\Gitrepos\awesome-copilot\docs\code-review-findings.md", "Markdown", 0, 91, 0, 0, 44, 135
"d:\Mycodes\Gitrepos\awesome-copilot\docs\code-review-report.md", "Markdown", 0, 29, 0, 0, 29, 58
"d:\Mycodes\Gitrepos\awesome-copilot\docs\github-mcp-registry-review.md", "Markdown", 0, 54, 0, 0, 29, 83
"d:\Mycodes\Gitrepos\awesome-copilot\docs\performance-optimization.md", "Markdown", 0, 168, 0, 0, 62, 230
"d:\Mycodes\Gitrepos\awesome-copilot\docs\security-analysis.md", "Markdown", 0, 101, 0, 0, 47, 148
"d:\Mycodes\Gitrepos\awesome-copilot\docs\yaml-parser-optimization-guide.md", "Markdown", 0, 142, 0, 0, 44, 186
"d:\Mycodes\Gitrepos\awesome-copilot\docs\yaml-parser-review.md", "Markdown", 0, 102, 0, 0, 31, 133
"d:\Mycodes\Gitrepos\awesome-copilot\eng\__tests__\fixtures\README.md", "Markdown", 0, 11, 0, 0, 1, 12
"d:\Mycodes\Gitrepos\awesome-copilot\eng\__tests__\fixtures\invalid-collection.yml", "YAML", 0, 0, 1, 5, 2, 8
"d:\Mycodes\Gitrepos\awesome-copilot\eng\__tests__\fixtures\sample-agent.md", "Markdown", 0, 68, 0, 0, 10, 78
"d:\Mycodes\Gitrepos\awesome-copilot\eng\__tests__\fixtures\valid-collection.yml", "YAML", 0, 0, 8, 5, 2, 15
"d:\Mycodes\Gitrepos\awesome-copilot\eng\__tests__\fixtures\valid-markdown.md", "Markdown", 0, 24, 0, 0, 8, 32
"d:\Mycodes\Gitrepos\awesome-copilot\eng\__tests__\update-readme.test.js", "JavaScript", 90, 0, 0, 14, 17, 121
"d:\Mycodes\Gitrepos\awesome-copilot\eng\__tests__\yaml-parser-optimized.test.js", "JavaScript", 235, 0, 0, 29, 61, 325
"d:\Mycodes\Gitrepos\awesome-copilot\eng\create-collection.js", "JavaScript", 7, 0, 0, 29, 2, 38
"d:\Mycodes\Gitrepos\awesome-copilot\eng\optimized-section-generators.js", "JavaScript", 82, 0, 0, 75, 21, 178
"d:\Mycodes\Gitrepos\awesome-copilot\eng\update-readme.js", "JavaScript", 14, 0, 0, 72, 11, 97
"d:\Mycodes\Gitrepos\awesome-copilot\eng\validate-collections.js", "JavaScript", -5, 0, 0, 53, 6, 54
"d:\Mycodes\Gitrepos\awesome-copilot\eng\yaml-parser-optimized.js", "JavaScript", 118, 0, 0, 195, 35, 348
"d:\Mycodes\Gitrepos\awesome-copilot\eng\yaml-parser.js", "JavaScript", 0, 0, 0, 45, 5, 50
"Total", "-", 541, 2968, 9, 535, 1266, 5319